source bytecode,source opcode,source instruction count,stack depth,uninterpreted count,storage access count
7f8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925600360003373ffffffffffffffffffffffffffffffffffffffff,PUSH 0x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925 PUSH 0x03 PUSH 0x00 CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,0,1,0
167f8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b9256003600033,AND PUSH 0x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925 PUSH 0x03 PUSH 0x00 CALLER,5,2,1,0
73ffffffffffffffffffffffffffffffffffffffff167f8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b92560036000,PUSH 0xffffffffffffffffffffffffffffffffffffffff AND PUSH 0x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925 PUSH 0x03 PUSH 0x00,5,1,0,0
3373ffffffffffffffffffffffffffffffffffffffff167f8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b9256003,CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff AND PUSH 0x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925 PUSH 0x03,5,0,1,0
8373ffffffffffffffffffffffffffffffffffffffff163373ffffffffffffffffffffffffffffffffffffffff,DUP4 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,4,1,0
82611ed7909190,DUP3 PUSH 0x1ed7 SWAP1 SWAP2 SWAP1,5,3,0,0
8382611ed79091,DUP4 DUP3 PUSH 0x1ed7 SWAP1 SWAP2,5,4,0,0
6111798382611ed790,PUSH 0x1179 DUP4 DUP3 PUSH 0x1ed7 SWAP1,5,3,0,0
2060008673ffffffffffffffffffffffffffffffffffffffff16,SHA3 PUSH 0x00 DUP7 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,7,1,0
60002060008673ffffffffffffffffffffffffffffffffffffffff,PUSH 0x00 SHA3 PUSH 0x00 DUP7 PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,6,1,0
01600020600086,ADD PUSH 0x00 SHA3 PUSH 0x00 DUP7,5,7,1,0
6000600360003373ffffffffffffffffffffffffffffffffffffffff,PUSH 0x00 PUSH 0x03 PUSH 0x00 CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,0,1,0
80831115611166,DUP1 DUP4 GT ISZERO PUSH 0x1166,5,3,0,0
5080831115,POP DUP1 DUP4 GT ISZERO,5,4,0,0
9050808311,SWAP1 POP DUP1 DUP4 GT,5,4,0,0
5490508083,SLOAD SWAP1 POP DUP1 DUP4,5,4,0,1
2054905080,SHA3 SLOAD SWAP1 POP DUP1,5,3,1,1
